Note ID	Korean Word	Word Meaning	Word Audio	Korean Expression	Expression Meaning	Expression Audio	Picture	Hint	Sort
dfe51024-2cb3-11ed-a970-3b66871c921d				"<div>왕징 씨는 저에게 “내일 몇 시에 와요?"" <b>하고 물어봤어요</b>.&nbsp;</div>"		"<img src=""paste-14a22c0f481336b43448e3579fec1d7f587e87ea.jpg"">[sound:23-1-207-3.mp3]"			23-1-207-3	Beginner Retired
dfe53d38-2cb3-11ed-a970-3b66871c921d				<div>부디 씨는 ‘문제가 너무 어려워.’ <b>하고 생각했어요</b>.</div><div></div>		"<img src=""paste-c289d7164206dbbcc94734dceaaa1718ac450df5.jpg"">[sound:23-1-207-4.mp3]"			23-1-207-4	Beginner Retired
dfe56c0e-2cb3-11ed-a970-3b66871c921d				<div>민우 씨가 저에게 정말 아름답<b>다고 했어요</b>.&nbsp;</div>		"<img src=""paste-e962dc2e37be12a92d7ccb262389cf4b56d1957f.jpg"">[sound:23-2-209-1.mp3]"			23-2-209-1	Beginner
dfe59b02-2cb3-11ed-a970-3b66871c921d				<div>하영 씨가 저에게 사랑<b>한다고 그랬어요</b>.</div>		"<img src=""paste-b92bb3d3728cf673e920968ea8a16a747abc49a6.jpg"">[sound:23-2-209-2.mp3]"			23-2-209-2	Beginner Retired
dfe5cac8-2cb3-11ed-a970-3b66871c921d				<div>민우 씨가 결혼하<b>자고 했어요</b>.&nbsp;</div>		"<img src=""paste-68d8ff523b045e5d9a38fbfa0b419e88eb6f3876.jpg"">[sound:23-2-209-3.mp3]"			23-2-209-3	Beginner
dfe5fa8e-2cb3-11ed-a970-3b66871c921d				<div>요코 씨는 한국어가 재미있<b>대요</b>.&nbsp;</div>		"<img src=""paste-83ff912d802bc8d4566046335540243d826c3739.jpg"">[sound:23-3-211-1.mp3]"			23-3-211-1	Beginner
dfe628e2-2cb3-11ed-a970-3b66871c921d				<div>티루엔 씨는 다음 달에 결혼한<b>대요</b>.&nbsp;</div>		"<img src=""paste-2a4d61ea740083640f4cfacad659922e0e389728.jpg"">[sound:23-3-211-2.mp3]"			23-3-211-2	Beginner Retired
dfe65506-2cb3-11ed-a970-3b66871c921d				<div>웨슬리 씨는 저녁에 전화하<b>래요</b>.&nbsp;</div>		"<img src=""paste-0d57ce70b7cff25a6e61228ace08862ac5d7afc4.jpg"">[sound:23-3-211-3.mp3]"			23-3-211-3	Beginner Retired
dfe6860c-2cb3-11ed-a970-3b66871c921d				<div>재준 씨는 내일 같이 테니스를 치<b>재요</b>.&nbsp;</div>		"<img src=""paste-53251ffa22b774b051bf510442361ef3640733f6.jpg"">[sound:23-3-211-4.mp3]"			23-3-211-4	Beginner Retired
dfe6b80c-2cb3-11ed-a970-3b66871c921d				<div>부디 씨는 뭐 먹고 싶<b>냬요</b>.</div>		"<img src=""paste-f8776b7db5c720e291d5ec2b80e394a01d82c13e.jpg"">[sound:23-3-211-5.mp3]"			23-3-211-5	Beginner Retired
dfe6e476-2cb3-11ed-a970-3b66871c921d				<div>민우 씨는 요즘 많이 <b>바빠요</b>.</div><div></div>		"<img src=""paste-630445898db5d05ceab44c71622a0223acb850bd.jpg"">[sound:24-1-213-1.mp3]"			24-1-213-1	Beginner Retired
dfe7119e-2cb3-11ed-a970-3b66871c921d				<div>불 좀 <b>꺼</b> 주세요.</div>		"<img src=""paste-d7ae4bb40a1704d56a6b2d492e573ceeba57471a.jpg"">[sound:24-1-213-2.mp3]"			24-1-213-2	Beginner
dfe73e62-2cb3-11ed-a970-3b66871c921d				<div>배가 <b>고파요</b>.&nbsp;</div>		"<img src=""paste-76901e7b5bf395b2e4ed4b095061ed0b77368c5e.jpg"">[sound:24-1-213-3.mp3]"			24-1-213-3	Beginner Retired
dfe76e00-2cb3-11ed-a970-3b66871c921d				<div>아이가 혼자서 잘 <b>놉니다</b>.&nbsp;</div>		"<img src=""paste-38b73a383bf5cdb94cc7e39c25870a30310d68f8.jpg"">[sound:24-2-215-1.mp3]"			24-2-215-1	Beginner
dfe79b8c-2cb3-11ed-a970-3b66871c921d				<div>백화점이 몇 시에 <b>여는지</b> 알고 싶어요.&nbsp;</div>		"<img src=""paste-e001cdbb9dbc7d901829d156945dc9b9cd1bb3e7.jpg"">[sound:24-2-215-2.mp3]"			24-2-215-2	Beginner
dfe7c846-2cb3-11ed-a970-3b66871c921d				<div>지금 <b>만드는</b> 게 뭐예요?</div>		"<img src=""paste-f88e5bfa094f694130cdddb729af1af091296951.jpg"">[sound:24-2-215-3.mp3]"			24-2-215-3	Beginner Retired
dfe7f6cc-2cb3-11ed-a970-3b66871c921d				<div>커피가 <b>뜨거우니까</b> 조심하세요.&nbsp;</div>		"<img src=""paste-8165513db62118655847219c5029d0d5bfa1a38e.jpg"">[sound:24-3-217-1.mp3]"			24-3-217-1	Beginner Retired
dfe822be-2cb3-11ed-a970-3b66871c921d				<div>날씨가 <b>추워서</b> 집에 있었어요.&nbsp;</div>		"<img src=""paste-9eb9fdba3debfaaff6b91223fbbbcb7b995bbff2.jpg"">[sound:24-3-217-2.mp3]"			24-3-217-2	Beginner
dfe84fbe-2cb3-11ed-a970-3b66871c921d				<div>저는 <b>매운</b> 음식을 좋아해요.&nbsp;</div>		"<img src=""paste-4c45471de6e6330aacffccad3154a373285b5d6a.jpg"">[sound:24-3-217-3.mp3]"			24-3-217-3	Beginner Retired
dfe87e08-2cb3-11ed-a970-3b66871c921d				<div>음악을 <b>들으면서</b> 운동해요.&nbsp;</div>		"<img src=""paste-13909f82ff36b222d55b4b5a5dfd97e20ece8211.jpg"">[sound:24-4-219-1.mp3]"			24-4-219-1	Beginner Retired
dfe8ab6c-2cb3-11ed-a970-3b66871c921d				<div>돈이 없어서 <b>걸어서</b> 갔어요.&nbsp;</div>		"<img src=""paste-26c73a1e2ddd7401901bc68196facd81740ed2fb.jpg"">[sound:24-4-219-2.mp3]"			24-4-219-2	Beginner
dfe8dc40-2cb3-11ed-a970-3b66871c921d				<div>그 여자에게 전화번호를 <b>물어</b>봤어요.&nbsp;</div>		"<img src=""paste-51baa276380be72dabe8353d13cdc24b1cb97739.jpg"">[sound:24-4-219-3.mp3]"			24-4-219-3	Beginner
dfe90e4a-2cb3-11ed-a970-3b66871c921d				<div>댄 씨는 노래를 잘 <b>불러서</b> 인기가 많아요.&nbsp;</div>		"<img src=""paste-5d44a638a594bf51729e7cc4e5a13cf304f5f169.jpg"">[sound:24-5-221-1.mp3]"			24-5-221-1	Beginner
dfe94040-2cb3-11ed-a970-3b66871c921d				<div>출근 시간에는 지하철이 버스보다 <b>빨라요</b>.&nbsp;</div>		"<img src=""paste-06d3e43e168fbadc8ac5454981abb937049c09f7.jpg"">[sound:24-5-221-2.mp3]"			24-5-221-2	Beginner Retired
dfe97204-2cb3-11ed-a970-3b66871c921d				<div>저는 영어를 <b>몰라요</b>.&nbsp;</div>		"<img src=""paste-6c07734b77ec8fc8f2d9ae949a72f9ff63719ffa.jpg"">[sound:24-5-221-3.mp3]"			24-5-221-3	Beginner
dfe99fcc-2cb3-11ed-a970-3b66871c921d				<div>백설공주는 머리는 <b>까맣고</b> 피부는 <b>하얘요</b>.&nbsp;</div>		"<img src=""paste-a64873b0f963422e29998920f28d77a797c02811.jpg"">[sound:24-6-223-1.mp3]"			24-6-223-1	Beginner Retired
dfe9dfd2-2cb3-11ed-a970-3b66871c921d				<div>왕비는 백설공주에게 <b>빨간</b> 사과를 줬어요.&nbsp;</div>		"<img src=""paste-e452bb27a19b4c6a9133e09e239b728e43dcde83.jpg"">[sound:24-6-223-2.mp3]"			24-6-223-2	Beginner
dfea1dbc-2cb3-11ed-a970-3b66871c921d				<div>왕자는 크고 <b>파란</b> 눈으로 공주를 봤어요.&nbsp;</div>		"<img src=""paste-b37df8bcb48a41b741c2fee82a727c8cd606610d.jpg"">[sound:24-6-223-3.mp3]"			24-6-223-3	Beginner Retired
dfea4e40-2cb3-11ed-a970-3b66871c921d				<div>모기가 물어서 눈이 <b>부었어요</b>.&nbsp;</div>		"<img src=""paste-81adbc9b701cb1f63d66af925e19f6ba32173c1a.jpg"">[sound:24-7-225-1.mp3]"			24-7-225-1	Beginner
dfea7bcc-2cb3-11ed-a970-3b66871c921d				<div>컵에 커피와 크림, 설탕을 넣고 <b>저어요</b>.&nbsp;</div>		"<img src=""paste-f8bf80deec9e9c1022c59e298a7f26bcb9e0944d.jpg"">[sound:24-7-225-2.mp3]"			24-7-225-2	Beginner Retired
dfeaa926-2cb3-11ed-a970-3b66871c921d				<div>어느 옷이 더 <b>나아요</b>?&nbsp;</div>		"<img src=""paste-4cd7765959c681681738f79c164baf85f2ea949a.jpg"">[sound:24-7-225-3.mp3]"			24-7-225-3	Beginner
e09b7bfc-2cb3-11ed-a970-3b66871c921d				웨슬리 씨는 일요일<b>마다</b> 교회에 가요.		"<div><img src=""paste-d0e115642c40bf9486f70525c30cad4d759d3290.jpg"">[sound:3-20-69-1.mp3]<br></div>"			3-20-69-1	Beginner
e09ba9ce-2cb3-11ed-a970-3b66871c921d				기차는 한 시간<b>마다</b> 있어요.		"<div><br></div><img src=""paste-131c2ab2b8c44763558dbf0122c41566cec3293f.jpg"">[sound:3-20-69-2.mp3]<div><br></div>"			3-20-69-2	Beginner
e09bd1f6-2cb3-11ed-a970-3b66871c921d				나라<b>마다</b> 국기가 달라요.		"<div><img src=""paste-9c6a0626b2548e05438ceab81ca5775e26315a6f.jpg"">[sound:3-20-69-3.mp3]<br></div>"			3-20-69-3	Beginner Retired
